name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
MAW_10,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.00133403,1.037697711,0.96367178,1347.137678,2336690.415,4.12E-07,20432.35719,2.02E-11,2.06506E+11,6348447,2.06512E+11,Weight-Stationary,10,1
MAW_10,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.00133403,1.037697711,0.96367178,1347.137678,2336690.415,4.12E-07,20432.35719,2.02E-11,2.06506E+11,6348447,2.06512E+11,Output-Stationary,10,1
MAW_10,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.00133403,1.041437021,0.960211688,1415.397062,2336690.415,4.11E-07,20432.35719,2.01E-11,4.10217E+11,12562015,4.10229E+11,Input-Stationary,10,1
HEANA_1,MobileNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.001292648,0.002003682,499.0811915,138.9842142,86898.08112,0.003193864,25532.85089,1.25E-07,1.27552E+11,755690,1.27553E+11,Input-Stationary,1,1
AMW_5,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000276547,0.004901968,203.9996914,665.9062497,818448.9092,0.00021377,41986.25814,5.09E-09,1.87826E+11,5934830,1.87832E+11,Input-Stationary,5,1
AMW_10,MobileNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000206931,0.004190455,238.6375875,907.3407304,1427215.496,0.00014518,22251.06543,6.52E-09,1.86114E+11,7794840,1.86122E+11,Input-Stationary,10,1
MAW_5,MobileNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000368438,0.138773411,7.205991349,508.3586664,1278845.682,5.62E-06,55604.42044,1.01E-10,1.78975E+11,4104716,1.78979E+11,Input-Stationary,5,1
MAW_10,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000276547,0.209209126,4.779906203,691.6185459,2336690.415,2.04E-06,20432.35719,1.00E-10,1.87826E+11,5934830,1.87832E+11,Input-Stationary,10,1
AMW_1,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000511702,0.007704968,129.7863924,356.2692678,215689.554,0.000495503,25424.06357,1.95E-08,1.80818E+11,2923418,1.80821E+11,Input-Stationary,1,1
HEANA_5,MobileNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000692655,0.001312468,761.9234544,262.1773728,320947.9702,0.001463248,54693.23085,2.68E-08,1.54509E+11,1939088,1.54511E+11,Input-Stationary,5,1
