Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
21,MAW_10,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",4.424613813845012e-07,914.7024946672522,0.0010932516373684,4973864.905008361,2336690.4150797827,4.667770464335903e-10,20432.3571896792,2.2844992484243034e-14,1445010054578176,44205833728,1445054260411904,Output-Stationary,10,256
22,MAW_10,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",2.190501629151472e-06,88.3274842653819,0.0113215043801709,301231.92693524266,2336690.4150797827,4.838041298940264e-09,20432.3571896792,2.3678331648313483e-13,84979409223680,2628765952,84982037989632,Output-Stationary,10,256
23,MAW_10,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",1.1473501003980083e-06,53.261286005935126,0.0187753634016378,177053.04256695908,2336690.4150797827,8.023609339056113e-09,20432.3571896792,3.9269132115158024e-13,48083423461376,1519316480,48084942777856,Output-Stationary,10,256
24,HEANA_1,GoogLeNet,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",3.7196825097560846e-05,3.637263232000003,0.2749319849061722,81642.58766255286,86898.0811182818,2.514370993991337e-06,25532.850894407497,9.847592046770083e-11,116150002011136,686731008,116150688742144,Output-Stationary,1,256
25,HEANA_1,ResNet50,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",2.1894699198497936e-06,13.253657087999429,0.0754508731711079,961178.8155095336,86898.0811182818,4.732840200342994e-07,25532.850894407497,1.8536277910821288e-11,1464861398134784,8646007296,1464870044142080,Output-Stationary,1,256
26,HEANA_1,ShuffleNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",1.0633395909410734e-05,1.1615708159998854,0.8609031720026432,57904.50242097184,86898.0811182818,6.295533333513749e-06,25532.850894407497,2.465660164448252e-10,77915169337344,461636096,77915630973440,Output-Stationary,1,256
27,HEANA_1,MobileNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",5.680973114636143e-06,0.5076974080000037,1.9696771822006085,35579.896098584664,86898.0811182818,1.2547393600650652e-05,25532.850894407497,4.914215671622838e-10,32653346797056,193456640,32653540253696,Output-Stationary,1,256
28,HEANA_5,GoogLeNet,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",1.994178277906344e-05,1.703993420800059,0.5868567259669817,149410.79470051947,320947.97021895595,1.436154273129216e-06,54693.23084943599,2.6258355025373787e-11,115155132051456,1343444224,115156475495680,Output-Stationary,5,256
29,HEANA_5,ResNet50,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",1.1346760199607366e-06,5.814019788800347,0.1719980385904978,1873382.3752152864,320947.97021895595,2.674239953587109e-07,54693.23084943599,4.889526385722168e-12,1482142213472256,17340116992,1482159553589248,Output-Stationary,5,256
30,HEANA_5,ShuffleNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",5.411954452006875e-06,0.550625996799992,1.816114759948825,113791.74751434344,320947.97021895595,3.442174387939112e-06,54693.23084943599,6.293602214531835e-11,85542263783424,1015724032,85543279507456,Output-Stationary,5,256
31,HEANA_5,MobileNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",2.9359615042652937e-06,0.265485516799984,3.766683817834768,67117.26484172259,320947.97021895595,6.5649406106217e-06,54693.23084943599,1.2003204982887565e-10,39554206433280,496406528,39554702839808,Output-Stationary,5,256
32,HEANA_10,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",1.4895807613533734e-05,1.1838911487999748,0.8446722496520293,210803.9799331717,618206.231565412,1.060790885848144e-06,20663.0457251286,5.1337585947366035e-11,118767671668224,1876867840,118769548536064,Output-Stationary,10,256
33,HEANA_10,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",8.373040675698729e-07,4.01445288960022,0.2490999464934773,2559261.4961121813,618206.231565412,1.98372500870804e-07,20663.0457251286,9.600351444296548e-12,1477861522015232,23355523584,1477884877538816,Output-Stationary,10,256
34,HEANA_10,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",4.185883746224541e-06,0.3893398783999586,2.568449972578268,150944.6154116142,618206.231565412,2.553385191756664e-06,20663.0457251286,1.235725471318809e-10,81350778407424,1299678464,81352078085888,Output-Stationary,10,256
35,HEANA_10,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",2.1792439563262386e-06,0.2239794431999797,4.464695445765312,93191.95447109047,618206.231565412,4.316718648738962e-06,20663.0457251286,2.0891008548121948e-10,46289493266944,748395008,46290241661952,Output-Stationary,10,256
