,name,Model_Name,Size,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
14,RAMM,NASNetMobile,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",71.38025746,0.000822237,1216.194543,67.78943203,27791.99985,0.01103253,316.0149383,3.49E-05
15,RAMM,ResNet50,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",83.01327572,0.025975136,38.49835431,459.5943076,27791.99985,0.000846385,316.0149383,2.68E-06
16,RAMM,ShuffleNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",77.9135881,0.000698701,1431.226676,51.59030369,27791.99985,0.014082799,316.0149383,4.46E-05
17,RAMM,Xception,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",83.20297592,0.027824886,35.93905091,994.9825844,27791.99985,0.000565518,316.0149383,1.79E-06
,RAMM,Average,large,,81.70334504,0.082090637,26.54432305,1991.894655,27791.99985,0.000504406,316.0149383,1.59614E-06
,RAMM,Average,small,,71.31974735,0.000643187,1698.22473,51.60878556,27791.99985,0.015493823,316.0149383,4.90288E-05
18,RAMM_V2,EfficientNet_B7,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",82.43956415,0.192244453,5.201710563,4521.106669,30007.88413,9.72E-05,316.7900743,3.07E-07
19,RAMM_V2,MobileNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",58.44170403,0.00041616,2402.92403,35.32678499,30007.88413,0.020914002,316.7900743,6.60E-05
20,RAMM_V2,NASNetMobile,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",74.58835892,0.000806107,1240.529734,67.78943203,30007.88413,0.010872046,316.7900743,3.43E-05
21,RAMM_V2,ResNet50,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",86.74420946,0.025941577,38.54815714,459.5943076,30007.88413,0.000807724,316.7900743,2.55E-06
22,RAMM_V2,ShuffleNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",81.4153224,0.000689991,1449.293328,51.59030369,30007.88413,0.013832122,316.7900743,4.37E-05
23,RAMM_V2,Xception,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",86.94243551,0.027802669,35.96776934,994.9825844,30007.88413,0.000546663,316.7900743,1.73E-06
,RAMM_V2,Average,large,,85.37540304,0.081996233,26.57254568,1991.89452,30007.88413,0.000483856,316.7900743,1.52737E-06
,RAMM_V2,Average,small,,71.48179512,0.000637419,1697.582364,51.56884024,30007.88413,0.015206057,316.7900743,4.80004E-05
24,RAMM_V3,EfficientNet_B7,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",81.11466322,0.192566659,5.193006958,4516.41616,32492.16175,9.28E-05,317.4149216,2.92E-07
25,RAMM_V3,MobileNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",60.48036813,0.000406567,2459.619219,35.32678499,32492.16175,0.020602828,317.4149216,6.49E-05
26,RAMM_V3,NASNetMobile,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",71.13633914,0.000807915,1237.754612,67.65818301,32492.16175,0.010648598,317.4149216,3.35E-05
27,RAMM_V3,ResNet50,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",89.77017026,0.025916299,38.58575586,459.5943076,32492.16175,0.000768243,317.4149216,2.42E-06
28,RAMM_V3,ShuffleNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",84.25539178,0.000687953,1453.587704,51.59030369,32492.16175,0.01352386,317.4149216,4.26E-05
