name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow
MAM_OS,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000715775,13.97086652,364.3305464,443280.439,1.47E-05,29374.21734,4.99E-10,8196220248,57513344,8364080392,Output-Stationary-No-PCA
AMM_WS,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000875156,11.42653424,793.5491826,190276.2992,1.04E-05,23875.41105,4.36E-10,4344289784,104721952,4650233352,Weight-Stationary-No-PCA
AMM_OS,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000875156,11.42653424,793.7479061,190276.2992,1.04E-05,23875.41105,4.36E-10,8322738824,104721952,8628682392,Output-Stationary-No-PCA
MMA,ShuffleNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10}]",0.002534316,0.00060295,165851.3415,226.1897077,86898.08112,0.035895704,20769.10739,1.73E-06,3.04356E+11,1803266,3.04358E+11,Output-Stationary
MMA,ShuffleNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.002534316,0.004537386,22039.1212,224.1629158,86898.08112,0.016169376,25532.85089,6.33E-07,1.54224E+11,937218,1.54225E+11,Weight-Stationary
AMM_WS_PCA,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.001013168,0.013716479,7290.500718,567.2096658,194401.2578,0.003092423,24133.5198,1.28E-07,1.60923E+11,2567205,1.60926E+11,Weight-Stationary
AMM_OS_PCA,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.001013168,0.013716479,7290.500718,575.1293218,194401.2578,0.003084868,24133.5198,1.28E-07,3.17776E+11,5076869,3.17782E+11,Output-Stationary
MAM_WS,ShuffleNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",91.76656392,3.04E-05,329.4758495,28.31987246,443280.439,2.00E-04,29374.21734,6.81E-09,525147712,2535307,532209403,Weight-Stationary-No-PCA
MAM_OS,ShuffleNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",91.76656392,3.04E-05,329.4758495,28.3468533,443280.439,2.00E-04,29374.21734,6.81E-09,1024792920,2535307,1031854611,Output-Stationary-No-PCA
MAM_WS_PCA,ShuffleNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.001371262,0.111889646,893.7377431,419.1433852,443280.439,0.000239383,29374.21734,8.15E-09,1.69404E+11,1925003,1.69406E+11,Weight-Stationary
MAM_OS_PCA,ShuffleNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.001371262,0.111889646,893.7377431,428.061552,443280.439,0.000239229,29374.21734,8.14E-09,3.34553E+11,3796659,3.34557E+11,Output-Stationary
AMM_WS,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",95.75261082,5.96E-05,167.8669151,58.76695289,190276.2992,0.000142649,23875.41105,5.97E-09,503768198,6979097,523534891,Weight-Stationary-No-PCA
AMM_OS,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",95.75261082,5.96E-05,167.8669151,58.790244,190276.2992,0.000142602,23875.41105,5.97E-09,970056698,6979097,989823391,Output-Stationary-No-PCA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
