model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,608,1,1,128,"(None, 14, 14, 608)","(None, 14, 14, 128)","(1, 1, 608)",14,14,608,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,640,1,1,128,"(None, 14, 14, 640)","(None, 14, 14, 128)","(1, 1, 640)",14,14,640,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,672,1,1,128,"(None, 14, 14, 672)","(None, 14, 14, 128)","(1, 1, 672)",14,14,672,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,704,1,1,128,"(None, 14, 14, 704)","(None, 14, 14, 128)","(1, 1, 704)",14,14,704,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,736,1,1,128,"(None, 14, 14, 736)","(None, 14, 14, 128)","(1, 1, 736)",14,14,736,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,768,1,1,128,"(None, 14, 14, 768)","(None, 14, 14, 128)","(1, 1, 768)",14,14,768,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,800,1,1,128,"(None, 14, 14, 800)","(None, 14, 14, 128)","(1, 1, 800)",14,14,800,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,832,1,1,128,"(None, 14, 14, 832)","(None, 14, 14, 128)","(1, 1, 832)",14,14,832,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,864,1,1,128,"(None, 14, 14, 864)","(None, 14, 14, 128)","(1, 1, 864)",14,14,864,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,896,1,1,128,"(None, 14, 14, 896)","(None, 14, 14, 128)","(1, 1, 896)",14,14,896,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,928,1,1,128,"(None, 14, 14, 928)","(None, 14, 14, 128)","(1, 1, 928)",14,14,928,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,960,1,1,128,"(None, 14, 14, 960)","(None, 14, 14, 128)","(1, 1, 960)",14,14,960,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,992,1,1,128,"(None, 14, 14, 992)","(None, 14, 14, 128)","(1, 1, 992)",14,14,992,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,1024,1,1,512,"(None, 14, 14, 1024)","(None, 14, 14, 512)","(1, 1, 1024)",14,14,1024,14,14,512
DenseNet121,PointWiseConv,512,1,1,128,"(None, 7, 7, 512)","(None, 7, 7, 128)","(1, 1, 512)",7,7,512,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,544,1,1,128,"(None, 7, 7, 544)","(None, 7, 7, 128)","(1, 1, 544)",7,7,544,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,576,1,1,128,"(None, 7, 7, 576)","(None, 7, 7, 128)","(1, 1, 576)",7,7,576,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,608,1,1,128,"(None, 7, 7, 608)","(None, 7, 7, 128)","(1, 1, 608)",7,7,608,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,640,1,1,128,"(None, 7, 7, 640)","(None, 7, 7, 128)","(1, 1, 640)",7,7,640,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,672,1,1,128,"(None, 7, 7, 672)","(None, 7, 7, 128)","(1, 1, 672)",7,7,672,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,704,1,1,128,"(None, 7, 7, 704)","(None, 7, 7, 128)","(1, 1, 704)",7,7,704,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,736,1,1,128,"(None, 7, 7, 736)","(None, 7, 7, 128)","(1, 1, 736)",7,7,736,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,768,1,1,128,"(None, 7, 7, 768)","(None, 7, 7, 128)","(1, 1, 768)",7,7,768,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,800,1,1,128,"(None, 7, 7, 800)","(None, 7, 7, 128)","(1, 1, 800)",7,7,800,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,832,1,1,128,"(None, 7, 7, 832)","(None, 7, 7, 128)","(1, 1, 832)",7,7,832,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,864,1,1,128,"(None, 7, 7, 864)","(None, 7, 7, 128)","(1, 1, 864)",7,7,864,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,896,1,1,128,"(None, 7, 7, 896)","(None, 7, 7, 128)","(1, 1, 896)",7,7,896,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,928,1,1,128,"(None, 7, 7, 928)","(None, 7, 7, 128)","(1, 1, 928)",7,7,928,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,960,1,1,128,"(None, 7, 7, 960)","(None, 7, 7, 128)","(1, 1, 960)",7,7,960,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,PointWiseConv,992,1,1,128,"(None, 7, 7, 992)","(None, 7, 7, 128)","(1, 1, 992)",7,7,992,7,7,128
DenseNet121,Conv2D,128,3,3,32,"(None, 7, 7, 128)","(None, 7, 7, 32)","(3, 3, 128)",7,7,128,7,7,32
DenseNet121,Dense,1,1024,1,1,"(None, 1024)","(None, 1000)","(1024, 1, 1)",7,7,128,1000,1,1
