,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
30,RAMM_V2,EfficientNet_B7,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",82.43956415,0.19374428,5.161442702,4521.106669,12454.30782,0.000144216,201.7214182,7.15E-07
31,RAMM_V2,MobileNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",58.44170403,0.000477662,2093.531552,35.32678499,12454.30782,0.024227311,201.7214182,0.000120103
32,RAMM_V2,NASNetMobile,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",74.58835892,0.000906832,1102.740086,67.78943203,12454.30782,0.012644879,201.7214182,6.27E-05
33,RAMM_V2,ResNet50,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",86.74420946,0.02610698,38.30393228,459.5943076,12454.30782,0.00127431,201.7214182,6.32E-06
34,RAMM_V2,ShuffleNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",81.4153224,0.000727434,1374.694725,51.59030369,12454.30782,0.016488048,201.7214182,8.17E-05
35,RAMM_V2,Xception,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",86.94243551,0.027979424,35.74054965,994.9825844,12454.30782,0.000744354,201.7214182,3.69E-06
,RAMM_V2,Average,,78.42859908,0.041657102,775.0287146,1021.73168,12454.30782,0.009253853,201.7214182,4.58744E-05
36,RAMM_V3,EfficientNet_B7,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",81.11466322,0.194626063,5.138058007,4516.41616,11372.7659,0.000148592,185.3050668,8.02E-07
37,RAMM_V3,MobileNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",60.48036813,0.000477662,2093.531552,35.32678499,11372.7659,0.024534386,185.3050668,0.0001324
38,RAMM_V3,NASNetMobile,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",71.13633914,0.000930117,1075.133051,67.65818301,11372.7659,0.012781808,185.3050668,6.90E-05
39,RAMM_V3,ResNet50,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",89.77017026,0.02610698,38.30393228,459.5943076,11372.7659,0.001321872,185.3050668,7.13E-06
40,RAMM_V3,ShuffleNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",84.25539178,0.000727434,1374.694725,51.59030369,11372.7659,0.016704742,185.3050668,9.01E-05
41,RAMM_V3,Xception,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",89.97531117,0.027979424,35.74054965,994.9825844,11372.7659,0.000761507,185.3050668,4.11E-06
,RAMM_V3,Average,,79.45537395,0.041807947,770.4236446,1020.928054,11372.7659,0.009375484,185.3050668,5.05949E-05
42,RMAM_v3,EfficientNet_B7,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",63.12857606,0.041910796,23.86020059,2086.595132,8707.675303,0.000407907,264.9136863,1.54E-06
